target,threshold,is_repaired,used_function_name,pop_count,execution_time,preprocessing_time,similarity_calculation_time,repair_time
test/ABC265/A/WA/34216199.c,0,true,test/ABC269/A/AC/34937590.c::main,67,66204,20766,7995,37334
test/ABC265/A/WA/34216199.c,0.01,true,test/ABC271/A/AC/35284076.c::main,311,74617,20722,7917,45859
test/ABC265/A/WA/34216199.c,0.02,false,test/ABC269/A/AC/34919319.c::main,1000,78966,20813,8234,49790
test/ABC265/A/WA/34216199.c,0.03,true,test/ABC271/A/AC/35420077.c::main,112,67519,20999,8535,37864
test/ABC265/A/WA/34216199.c,0.04,false,test/ABC265/A/AC/34207186.c::main,1000,78982,20732,8205,49913
test/ABC265/A/WA/34216199.c,0.05,false,test/ABC270/A/AC/35385451.c::main,1000,77499,20985,8254,48087
test/ABC265/A/WA/34216199.c,0.06,false,test/ABC270/A/AC/35110339.c::main,1000,79769,20722,8371,50446
test/ABC265/A/WA/34216199.c,0.07,false,test/ABC265/A/AC/34199870.c::main,1000,79239,20951,8351,49768
test/ABC265/A/WA/34216199.c,0.08,true,test/ABC271/A/AC/35284976.c::main,272,67795,20827,8345,38511
test/ABC265/A/WA/34216199.c,0.09,false,test/ABC270/A/AC/35197025.c::main,1000,79635,21059,8502,49938
test/ABC265/A/WA/34216199.c,0.1,false,test/ABC270/A/AC/35252404.c::main,1000,78927,20972,8448,49365
test/ABC265/A/WA/34216199.c,0.11,false,test/ABC270/A/AC/35113302.c::main,1000,77757,20759,8415,48465
test/ABC265/A/WA/34216199.c,0.12,false,test/ABC271/A/AC/35280080.c::main,1000,80385,20920,8505,50784
test/ABC265/A/WA/34216199.c,0.13,false,test/ABC271/A/AC/35420077.c::main,1000,77371,20808,8383,48041
test/ABC265/A/WA/34216199.c,0.14,true,test/ABC269/A/AC/34921759.c::main,531,75077,20797,8304,45843
test/ABC265/A/WA/34216199.c,0.15,false,test/ABC265/A/AC/34205259.c::main,1000,79099,20985,8372,49621
test/ABC265/A/WA/34216199.c,0.16,false,test/ABC270/A/AC/35113302.c::main,1000,78787,20745,8420,49501
test/ABC265/A/WA/34216199.c,0.17,true,test/ABC269/A/AC/34924677.c::main,471,76142,20822,8530,46668
test/ABC265/A/WA/34216199.c,0.18,true,test/ABC268/A/AC/34730499.c::main,714,77564,21019,8405,48019
test/ABC265/A/WA/34216199.c,0.19,false,test/ABC272/A/AC/35471639.c::main,1000,80282,20911,8605,50647
test/ABC265/A/WA/34216199.c,0.2,false,test/ABC270/A/AC/35404864.c::main,1000,79691,21072,8433,50067
test/ABC265/A/WA/34216199.c,0.21,false,test/ABC265/A/AC/35061259.c::main,1000,79653,20903,8748,49849
test/ABC265/A/WA/34216199.c,0.22,false,test/ABC270/A/AC/35176787.c::main,1000,78725,20914,8619,49056
